conqueror_rank,conqueror_word,conqueror_freq,conqueror_distinctiveness,conqueror_level,conqueror_exclusive,indigenous_rank,indigenous_word,indigenous_freq,indigenous_distinctiveness,indigenous_level,indigenous_exclusive
60,soddisfare,5,1.2,LOW,,60,parere,7,2.0,MODERATE,
61,leggere,7,0.8,LOW,,61,apparire,6,2.3,MODERATE,
62,vedere,15,0.4,LOW,,62,servire,6,2.3,MODERATE,
63,dire,12,0.4,LOW,,63,cadere,7,2.0,MODERATE,
64,cercare,7,0.7,LOW,,64,fingere,7,2.0,MODERATE,
65,venire,7,0.7,LOW,,65,cercare,10,1.4,LOW,
66,accettare,5,0.9,LOW,,66,sposare,3,4.0,HIGH,EXCLUSIVE
67,chiedere,9,0.5,LOW,,67,tendere,3,4.0,HIGH,EXCLUSIVE
68,cedere,3,1.3,LOW,,68,levare,3,4.0,HIGH,EXCLUSIVE
69,arrivare,3,1.3,LOW,,69,partire,3,4.0,HIGH,EXCLUSIVE
70,sorprendere,4,0.8,LOW,,70,abbassare,3,4.0,HIGH,EXCLUSIVE
71,passare,5,0.7,LOW,,71,restituire,3,4.0,HIGH,EXCLUSIVE
72,dare,6,0.5,LOW,,72,abitare,3,4.0,HIGH,EXCLUSIVE
73,rassegnare,2,1.5,LOW,,73,dimostrare,3,4.0,HIGH,EXCLUSIVE
74,concedere,2,1.5,LOW,,74,mandare,3,4.0,HIGH,EXCLUSIVE
75,sparare,3,1.0,LOW,,75,passare,8,1.5,LOW,
76,profittare,2,1.5,LOW,,76,interrompere,3,4.0,HIGH,EXCLUSIVE
77,perdere,3,1.0,LOW,,77,colpire,3,4.0,HIGH,EXCLUSIVE
78,incontrare,3,1.0,LOW,,78,allontanare,3,4.0,HIGH,EXCLUSIVE
79,risolvere,2,1.5,LOW,,79,chinare,3,4.0,HIGH,EXCLUSIVE
80,uscire,2,1.5,LOW,,80,piacere,3,4.0,HIGH,EXCLUSIVE
81,rispondere,3,1.0,LOW,,81,accostare,3,4.0,HIGH,EXCLUSIVE
82,apprezzare,2,1.5,LOW,,82,scuotere,3,4.0,HIGH,EXCLUSIVE
83,ispirare,2,1.5,LOW,,83,spiegare,3,4.0,HIGH,EXCLUSIVE
84,fidare,2,1.5,LOW,,84,leggere,9,1.2,LOW,
85,distrarre,2,1.5,LOW,,85,pensare,12,0.9,LOW,
86,procurare,2,1.5,LOW,,86,valere,6,1.8,LOW,
87,possedere,2,1.5,LOW,,87,mostrare,6,1.8,LOW,
88,seguitare,3,1.0,LOW,,88,riprendere,6,1.8,LOW,
89,cavare,2,1.5,LOW,,89,mangiare,6,1.8,LOW,
90,attendere,2,1.5,LOW,,90,ridere,6,1.8,LOW,
91,spingere,3,1.0,LOW,,91,vestire,4,2.5,MODERATE,
92,volere,4,0.7,LOW,,92,fuggire,4,2.5,MODERATE,
93,entrare,4,0.7,LOW,,93,essere,5,2.0,MODERATE,
94,fermare,4,0.7,LOW,,94,togliere,4,2.5,MODERATE,
95,lasciare,7,0.3,LOW,,95,appoggiare,4,2.5,MODERATE,
96,superare,3,0.8,LOW,,96,capitare,4,2.5,MODERATE,
97,divertire,3,0.8,LOW,,97,porre,5,2.0,MODERATE,
98,significare,3,0.8,LOW,,98,perdonare,4,2.5,MODERATE,
99,credere,5,0.5,LOW,,99,parlare,10,1.0,LOW,
100,trascorrere,2,1.0,LOW,,100,temere,5,2.0,MODERATE,
