rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
81,bianco,2,1,1.5,LOW,,10,3.0
82,lontano,2,1,1.5,LOW,,10,3.0
83,insolente,2,1,1.5,LOW,,10,3.0
84,grave,2,2,1.0,LOW,,10,2.0
85,basso,2,2,1.0,LOW,,10,2.0
86,indifferente,2,3,0.75,LOW,,10,1.5
87,solo,2,3,0.75,LOW,,10,1.5
88,vero,1,1,1.0,LOW,,10,1.0
89,calmo,1,1,1.0,LOW,,10,1.0
90,sicuro,1,1,1.0,LOW,,10,1.0
91,militare,1,1,1.0,LOW,,10,1.0
92,cattivo,1,1,1.0,LOW,,10,1.0
93,naturale,1,1,1.0,LOW,,10,1.0
94,allegro,1,1,1.0,LOW,,10,1.0
95,sincero,1,1,1.0,LOW,,10,1.0
96,piacevole,1,1,1.0,LOW,,10,1.0
97,lieve,1,1,1.0,LOW,,10,1.0
98,fisso,1,1,1.0,LOW,,10,1.0
99,necessario,1,1,1.0,LOW,,10,1.0
100,straordinario,1,1,1.0,LOW,,10,1.0
