rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
81,dolce,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
82,bianco,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
83,lontano,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
84,insolente,1,2,0.6666666666666666,LOW,,10,0.6666666666666666
85,stesso,2,9,0.3,LOW,,10,0.6
86,fermo,1,3,0.5,LOW,,10,0.5
87,diverso,1,3,0.5,LOW,,10,0.5
88,semplice,1,3,0.5,LOW,,10,0.5
89,domestico,1,3,0.5,LOW,,10,0.5
90,incerto,1,3,0.5,LOW,,10,0.5
91,capace,1,3,0.5,LOW,,10,0.5
92,rapido,1,4,0.4,LOW,,10,0.4
93,pieno,1,7,0.25,LOW,,10,0.25
94,buono,1,7,0.25,LOW,,10,0.25
95,chiaro,1,8,0.2222222222222222,LOW,,10,0.2222222222222222
96,opportuno,0,2,0.3333333333333333,LOW,,10,0.0
97,scorso,0,2,0.3333333333333333,LOW,,10,0.0
98,assurdo,0,5,0.16666666666666666,LOW,,10,0.0
99,romantico,0,2,0.3333333333333333,LOW,,10,0.0
100,meraviglioso,0,3,0.25,LOW,,10,0.0
