rank,word,frequency,other_category_freq,distinctiveness_ratio,distinctiveness_level,exclusive,priority,distinctiveness_score
64,cercare,7,10,0.7272727272727273,LOW,,10,5.090909090909091
65,venire,7,11,0.6666666666666666,LOW,,10,4.666666666666666
66,accettare,5,6,0.8571428571428571,LOW,,10,4.285714285714286
67,chiedere,9,20,0.47619047619047616,LOW,,10,4.285714285714286
68,cedere,3,2,1.3333333333333333,LOW,,10,4.0
69,arrivare,3,2,1.3333333333333333,LOW,,10,4.0
70,sorprendere,4,5,0.8333333333333334,LOW,,10,3.3333333333333335
71,passare,5,8,0.6666666666666666,LOW,,10,3.333333333333333
72,dare,6,12,0.5384615384615384,LOW,,10,3.230769230769231
73,rassegnare,2,1,1.5,LOW,,10,3.0
74,concedere,2,1,1.5,LOW,,10,3.0
75,sparare,3,3,1.0,LOW,,10,3.0
76,profittare,2,1,1.5,LOW,,10,3.0
77,perdere,3,3,1.0,LOW,,10,3.0
78,incontrare,3,3,1.0,LOW,,10,3.0
79,risolvere,2,1,1.5,LOW,,10,3.0
80,uscire,2,1,1.5,LOW,,10,3.0
81,rispondere,3,3,1.0,LOW,,10,3.0
82,apprezzare,2,1,1.5,LOW,,10,3.0
83,ispirare,2,1,1.5,LOW,,10,3.0
84,fidare,2,1,1.5,LOW,,10,3.0
85,distrarre,2,1,1.5,LOW,,10,3.0
86,procurare,2,1,1.5,LOW,,10,3.0
87,possedere,2,1,1.5,LOW,,10,3.0
88,seguitare,3,3,1.0,LOW,,10,3.0
89,cavare,2,1,1.5,LOW,,10,3.0
90,attendere,2,1,1.5,LOW,,10,3.0
91,spingere,3,3,1.0,LOW,,10,3.0
92,volere,4,6,0.7142857142857143,LOW,,10,2.857142857142857
93,entrare,4,6,0.7142857142857143,LOW,,10,2.857142857142857
94,fermare,4,6,0.7142857142857143,LOW,,10,2.857142857142857
95,lasciare,7,22,0.34782608695652173,LOW,,10,2.4347826086956523
96,superare,3,4,0.8,LOW,,10,2.4000000000000004
97,divertire,3,4,0.8,LOW,,10,2.4000000000000004
98,significare,3,4,0.8,LOW,,10,2.4000000000000004
99,credere,5,12,0.46153846153846156,LOW,,10,2.307692307692308
100,trascorrere,2,2,1.0,LOW,,10,2.0
