conqueror_rank,conqueror_word,conqueror_freq,conqueror_distinctiveness,conqueror_level,conqueror_exclusive,indigenous_rank,indigenous_word,indigenous_freq,indigenous_distinctiveness,indigenous_level,indigenous_exclusive
36,indigeno,2,0.8,LOW,,36,odioso,2,3.0,HIGH,EXCLUSIVE
37,lungo,3,0.4,LOW,,37,diverso,3,2.0,MODERATE,
38,alto,2,0.6,LOW,,38,silenzioso,2,3.0,HIGH,EXCLUSIVE
39,giovane,2,0.6,LOW,,39,semplice,3,2.0,MODERATE,
40,vero,1,1.0,LOW,,40,severo,2,3.0,HIGH,EXCLUSIVE
41,calmo,1,1.0,LOW,,41,implacabile,2,3.0,HIGH,EXCLUSIVE
42,sicuro,1,1.0,LOW,,42,ospitale,2,3.0,HIGH,EXCLUSIVE
43,militare,1,1.0,LOW,,43,impensato,2,3.0,HIGH,EXCLUSIVE
44,cattivo,1,1.0,LOW,,44,sopportabile,2,3.0,HIGH,EXCLUSIVE
45,naturale,1,1.0,LOW,,45,prezioso,2,3.0,HIGH,EXCLUSIVE
46,allegro,1,1.0,LOW,,46,grigio,2,3.0,HIGH,EXCLUSIVE
47,sincero,1,1.0,LOW,,47,fiducioso,2,3.0,HIGH,EXCLUSIVE
48,piacevole,1,1.0,LOW,,48,colpevole,2,3.0,HIGH,EXCLUSIVE
49,lieve,1,1.0,LOW,,49,domestico,3,2.0,MODERATE,
50,fisso,1,1.0,LOW,,50,caldo,2,3.0,HIGH,EXCLUSIVE
51,necessario,1,1.0,LOW,,51,vivace,2,3.0,HIGH,EXCLUSIVE
52,straordinario,1,1.0,LOW,,52,immobile,2,3.0,HIGH,EXCLUSIVE
53,ingenuo,1,1.0,LOW,,53,subitaneo,2,3.0,HIGH,EXCLUSIVE
54,pigro,1,1.0,LOW,,54,incerto,3,2.0,MODERATE,
55,convinto,1,1.0,LOW,,55,eccessivo,2,3.0,HIGH,EXCLUSIVE
56,inaspettato,1,1.0,LOW,,56,cristiano,2,3.0,HIGH,EXCLUSIVE
57,magnifico,1,1.0,LOW,,57,possibile,2,3.0,HIGH,EXCLUSIVE
58,macabro,1,1.0,LOW,,58,paziente,2,3.0,HIGH,EXCLUSIVE
59,avvezzo,1,1.0,LOW,,59,sorridente,2,3.0,HIGH,EXCLUSIVE
60,curioso,1,1.0,LOW,,60,denso,2,3.0,HIGH,EXCLUSIVE
61,secondo,1,1.0,LOW,,61,splendido,2,3.0,HIGH,EXCLUSIVE
62,peggiore,1,1.0,LOW,,62,capace,3,2.0,MODERATE,
63,ricco,1,1.0,LOW,,63,indigeno,3,1.3,LOW,
64,rossiccio,1,1.0,LOW,,64,lieto,4,1.0,LOW,
65,impaziente,1,1.0,LOW,,65,breve,3,1.0,LOW,
66,grande,2,0.4,LOW,,66,difficile,2,1.5,LOW,
67,profondo,2,0.4,LOW,,67,aperto,2,1.5,LOW,
68,difficile,1,0.7,LOW,,68,grosso,3,1.0,LOW,
69,aperto,1,0.7,LOW,,69,pessimo,2,1.5,LOW,
70,pessimo,1,0.7,LOW,,70,caro,2,1.5,LOW,
71,caro,1,0.7,LOW,,71,pesante,2,1.5,LOW,
72,pesante,1,0.7,LOW,,72,degno,2,1.5,LOW,
73,degno,1,0.7,LOW,,73,col,2,1.5,LOW,
74,col,1,0.7,LOW,,74,comune,2,1.5,LOW,
75,comune,1,0.7,LOW,,75,preoccupato,2,1.5,LOW,
76,preoccupato,1,0.7,LOW,,76,insolito,2,1.5,LOW,
77,insolito,1,0.7,LOW,,77,piccolo,2,1.5,LOW,
78,piccolo,1,0.7,LOW,,78,indolente,2,1.5,LOW,
79,indolente,1,0.7,LOW,,79,estremo,2,1.5,LOW,
80,estremo,1,0.7,LOW,,80,dolce,2,1.5,LOW,
81,dolce,1,0.7,LOW,,81,bianco,2,1.5,LOW,
82,bianco,1,0.7,LOW,,82,lontano,2,1.5,LOW,
83,lontano,1,0.7,LOW,,83,insolente,2,1.5,LOW,
84,insolente,1,0.7,LOW,,84,grave,2,1.0,LOW,
85,stesso,2,0.3,LOW,,85,basso,2,1.0,LOW,
86,fermo,1,0.5,LOW,,86,indifferente,2,0.8,LOW,
87,diverso,1,0.5,LOW,,87,solo,2,0.8,LOW,
88,semplice,1,0.5,LOW,,88,vero,1,1.0,LOW,
89,domestico,1,0.5,LOW,,89,calmo,1,1.0,LOW,
90,incerto,1,0.5,LOW,,90,sicuro,1,1.0,LOW,
91,capace,1,0.5,LOW,,91,militare,1,1.0,LOW,
92,rapido,1,0.4,LOW,,92,cattivo,1,1.0,LOW,
93,pieno,1,0.2,LOW,,93,naturale,1,1.0,LOW,
94,buono,1,0.2,LOW,,94,allegro,1,1.0,LOW,
95,chiaro,1,0.2,LOW,,95,sincero,1,1.0,LOW,
96,opportuno,0,0.3,LOW,,96,piacevole,1,1.0,LOW,
97,scorso,0,0.3,LOW,,97,lieve,1,1.0,LOW,
98,assurdo,0,0.2,LOW,,98,fisso,1,1.0,LOW,
99,romantico,0,0.3,LOW,,99,necessario,1,1.0,LOW,
100,meraviglioso,0,0.2,LOW,,100,straordinario,1,1.0,LOW,
